Date,Close,Open,High,Low,Change %
2015-12-24,132.11,131.89,132.17,131.54,0.14%
2015-12-25,132.19,132.09,132.22,131.47,0.06%
2015-12-28,132.06,131.85,132.52,131.61,-0.10%
2015-12-29,131.52,132.00,132.32,131.27,-0.41%
2015-12-30,131.75,131.51,131.96,131.40,0.17%
2015-12-31,130.68,131.72,131.80,130.41,-0.81%
2016-01-01,130.67,130.65,130.75,130.44,-0.01%
2016-01-04,129.37,130.59,130.84,128.63,-0.99%
2016-01-05,127.97,129.32,129.50,127.46,-1.08%
2016-01-06,127.73,127.93,128.22,126.98,-0.19%
2016-01-07,128.69,127.68,128.69,126.73,0.75%
2016-01-08,128.39,128.61,129.02,128.02,-0.23%
2016-01-11,127.86,128.34,128.50,127.26,-0.41%
2016-01-12,127.74,127.86,128.04,127.40,-0.09%
2016-01-13,128.00,127.66,128.62,127.57,0.20%
2016-01-14,128.27,127.99,128.78,127.68,0.21%
2016-01-15,127.80,128.22,128.51,127.54,-0.37%
2016-01-18,127.82,127.77,128.03,127.31,0.02%
2016-01-19,128.32,127.75,128.62,127.68,0.39%
2016-01-20,127.35,128.30,128.42,126.56,-0.76%
2016-01-21,128.00,127.31,128.23,126.12,0.51%
2016-01-22,128.25,127.95,128.48,127.37,0.20%
2016-01-25,128.34,128.23,128.54,127.80,0.07%
2016-01-26,128.75,128.30,128.76,127.77,0.32%
2016-01-27,129.27,128.70,129.54,128.20,0.40%
2016-01-28,129.98,129.21,130.24,128.88,0.55%
2016-01-29,131.18,129.93,132.30,129.54,0.92%
2016-02-01,131.74,131.09,132.06,131.06,0.43%
2016-02-02,130.99,131.71,132.02,130.83,-0.57%
2016-02-03,130.91,130.93,131.05,130.02,-0.06%
2016-02-04,130.88,130.87,131.67,130.58,-0.02%
2016-02-05,130.44,130.82,131.20,130.08,-0.34%
2016-02-08,129.72,130.42,130.94,128.71,-0.55%
2016-02-09,130.01,129.68,130.29,128.22,0.22%
2016-02-10,127.97,129.97,130.11,127.67,-1.57%
2016-02-11,127.31,127.93,128.15,125.77,-0.52%
2016-02-12,127.50,127.30,127.69,126.37,0.15%
2016-02-15,127.81,127.30,127.99,126.93,0.24%
2016-02-16,127.12,127.77,128.19,126.57,-0.54%
2016-02-17,126.98,127.07,127.43,126.56,-0.11%
2016-02-18,125.78,126.93,127.23,125.51,-0.95%
2016-02-19,125.34,125.74,126.00,124.97,-0.35%
2016-02-22,124.55,125.20,125.57,124.28,-0.63%
2016-02-23,123.56,124.49,124.69,123.00,-0.79%
2016-02-24,123.55,123.50,123.65,122.41,-0.01%
2016-02-25,124.56,123.51,124.67,123.19,0.82%
2016-02-26,124.64,124.52,125.05,124.17,0.06%
2016-02-29,122.53,124.59,124.66,122.40,-1.69%
2016-03-01,123.89,122.46,124.13,121.98,1.11%
2016-03-02,123.31,123.85,124.40,123.03,-0.47%
2016-03-03,124.59,123.27,124.66,123.23,1.04%
2016-03-04,125.19,124.53,125.64,123.90,0.48%
2016-03-07,124.97,125.21,125.45,124.18,-0.18%
2016-03-08,123.93,124.91,125.06,123.77,-0.83%
2016-03-09,124.80,123.89,124.91,123.00,0.70%
2016-03-10,126.50,124.76,126.83,123.61,1.36%
2016-03-11,126.91,126.46,127.30,126.03,0.32%
