Date,Close,Open,High,Low,Change %
2016-07-25,1.0994,1.0972,1.1002,1.0954,0.16%
2016-07-26,1.0987,1.0997,1.1031,1.0978,-0.06%
2016-07-27,1.1058,1.0986,1.1068,1.0963,0.65%
2016-07-28,1.1075,1.1058,1.1119,1.1048,0.15%
2016-07-29,1.1174,1.1079,1.1200,1.1071,0.89%
2016-08-01,1.1162,1.1177,1.1187,1.1157,-0.11%
2016-08-02,1.1227,1.1162,1.1235,1.1155,0.58%
2016-08-03,1.1149,1.1224,1.1233,1.1139,-0.69%
2016-08-04,1.1130,1.1149,1.1158,1.1114,-0.17%
2016-08-05,1.1086,1.1128,1.1162,1.1044,-0.40%
2016-08-08,1.1092,1.1088,1.1107,1.1073,0.05%
2016-08-09,1.1119,1.1090,1.1125,1.1070,0.24%
2016-08-10,1.1176,1.1117,1.1193,1.1103,0.51%
2016-08-11,1.1137,1.1175,1.1194,1.1133,-0.35%
2016-08-12,1.1161,1.1139,1.1224,1.1130,0.22%
2016-08-15,1.1184,1.1162,1.1203,1.1153,0.21%
2016-08-16,1.1278,1.1182,1.1324,1.1175,0.84%
2016-08-17,1.1288,1.1279,1.1317,1.1241,0.09%
2016-08-18,1.1354,1.1293,1.1367,1.1283,0.58%
2016-08-19,1.1326,1.1351,1.1363,1.1303,-0.25%
2016-08-22,1.1319,1.1306,1.1334,1.1273,-0.06%
2016-08-23,1.1306,1.1321,1.1357,1.1302,-0.11%
2016-08-24,1.1263,1.1305,1.1315,1.1244,-0.38%
2016-08-25,1.1283,1.1266,1.1301,1.1258,0.18%
2016-08-26,1.1198,1.1284,1.1343,1.1180,-0.75%
2016-08-29,1.1189,1.1192,1.1208,1.1157,-0.08%
2016-08-30,1.1143,1.1189,1.1198,1.1130,-0.41%
2016-08-31,1.1158,1.1143,1.1167,1.1123,0.13%
2016-09-01,1.1198,1.1157,1.1207,1.1128,0.36%
2016-09-02,1.1156,1.1197,1.1254,1.1151,-0.38%
2016-09-05,1.1147,1.1153,1.1185,1.1140,-0.08%
2016-09-06,1.1256,1.1147,1.1267,1.1140,0.98%
2016-09-07,1.1239,1.1255,1.1271,1.1228,-0.15%
2016-09-08,1.1261,1.1240,1.1329,1.1234,0.20%
2016-09-09,1.1233,1.1262,1.1288,1.1200,-0.25%
2016-09-12,1.1234,1.1232,1.1269,1.1211,0.01%
2016-09-13,1.1220,1.1236,1.1262,1.1203,-0.12%
2016-09-14,1.1250,1.1216,1.1274,1.1208,0.27%
2016-09-15,1.1244,1.1249,1.1286,1.1220,-0.05%
2016-09-16,1.1155,1.1244,1.1256,1.1147,-0.79%
2016-09-19,1.1174,1.1161,1.1198,1.1147,0.17%
2016-09-20,1.1155,1.1178,1.1216,1.1147,-0.17%
2016-09-21,1.1189,1.1152,1.1200,1.1123,0.30%
2016-09-22,1.1208,1.1193,1.1258,1.1181,0.17%
2016-09-23,1.1226,1.1209,1.1244,1.1195,0.16%
2016-09-26,1.1254,1.1221,1.1279,1.1220,0.25%
2016-09-27,1.1215,1.1253,1.1262,1.1190,-0.35%
2016-09-28,1.1216,1.1214,1.1238,1.1181,0.01%
2016-09-29,1.1223,1.1217,1.1251,1.1197,0.06%
2016-09-30,1.1241,1.1225,1.1253,1.1153,0.16%
2016-10-03,1.1211,1.1235,1.1245,1.1205,-0.27%
2016-10-04,1.1204,1.1210,1.1240,1.1138,-0.06%
2016-10-05,1.1206,1.1206,1.1237,1.1191,0.02%
2016-10-06,1.1151,1.1205,1.1214,1.1139,-0.49%
2016-10-07,1.1201,1.1151,1.1207,1.1103,0.45%
2016-10-10,1.1138,1.1196,1.1202,1.1128,-0.56%
2016-10-11,1.1054,1.1136,1.1144,1.1047,-0.75%
2016-10-12,1.1008,1.1053,1.1072,1.1003,-0.42%
2016-10-13,1.1056,1.1004,1.1058,1.0983,0.44%
2016-10-14,1.0971,1.1056,1.1062,1.0968,-0.77%
2016-10-17,1.0999,1.0975,1.1011,1.0965,0.26%
2016-10-18,1.0981,1.1000,1.1029,1.0970,-0.16%
2016-10-19,1.0974,1.0981,1.1006,1.0955,-0.06%
2016-10-20,1.0930,1.0974,1.1041,1.0916,-0.40%
2016-10-21,1.0884,1.0929,1.0933,1.0859,-0.42%
2016-10-24,1.0883,1.0879,1.0903,1.0861,-0.01%
2016-10-25,1.0888,1.0882,1.0906,1.0850,0.05%
2016-10-26,1.0909,1.0889,1.0947,1.0872,0.19%
2016-10-27,1.0897,1.0909,1.0945,1.0884,-0.11%
2016-10-28,1.0987,1.0899,1.0995,1.0893,0.83%
2016-10-31,1.0981,1.0986,1.0994,1.0936,-0.05%
2016-11-01,1.1056,1.0981,1.1071,1.0958,0.68%
2016-11-02,1.1097,1.1056,1.1126,1.1051,0.37%
2016-11-03,1.1105,1.1098,1.1128,1.1059,0.07%
2016-11-04,1.1138,1.1105,1.1146,1.1080,0.30%
2016-11-07,1.1040,1.1137,1.1139,1.1029,-0.88%
2016-11-08,1.1026,1.1042,1.1070,1.1008,-0.13%
2016-11-09,1.0909,1.1023,1.1300,1.0903,-1.06%
2016-11-10,1.0893,1.0911,1.0958,1.0866,-0.15%
2016-11-11,1.0856,1.0897,1.0929,1.0833,-0.34%
2016-11-14,1.0737,1.0850,1.0852,1.0709,-1.10%
2016-11-15,1.0722,1.0736,1.0817,1.0711,-0.14%
2016-11-16,1.0690,1.0724,1.0764,1.0667,-0.30%
2016-11-17,1.0626,1.0690,1.0746,1.0617,-0.60%
2016-11-18,1.0588,1.0625,1.0645,1.0570,-0.36%
2016-11-21,1.0629,1.0583,1.0652,1.0579,0.39%
2016-11-22,1.0626,1.0627,1.0660,1.0583,-0.03%
2016-11-23,1.0560,1.0629,1.0646,1.0526,-0.62%
2016-11-24,1.0554,1.0554,1.0587,1.0517,-0.06%
2016-11-25,1.0587,1.0551,1.0631,1.0538,0.31%
2016-11-28,1.0615,1.0595,1.0686,1.0563,0.26%
2016-11-29,1.0650,1.0615,1.0657,1.0565,0.33%
2016-11-30,1.0588,1.0649,1.0669,1.0554,-0.58%
2016-12-01,1.0662,1.0590,1.0670,1.0584,0.70%
2016-12-02,1.0673,1.0663,1.0692,1.0625,0.10%
2016-12-05,1.0764,1.0674,1.0798,1.0505,0.85%
2016-12-06,1.0719,1.0764,1.0787,1.0698,-0.42%
2016-12-07,1.0753,1.0721,1.0770,1.0709,0.32%
2016-12-08,1.0615,1.0753,1.0873,1.0596,-1.28%
2016-12-09,1.0562,1.0618,1.0632,1.0531,-0.50%
2016-12-12,1.0635,1.0551,1.0652,1.0524,0.69%
